BillID,Priority,Bill Name,Session,Short Description,Bill Description,Bill Endorsement
1,,11/2019 - WA9,Fall 2019,,Refer the resolution seeking a Real Estate Transfer Tax to the Land Bank Study Committee,No
2,X,11/2019 - WA9,Fall 2019,Real Estate Transfer Fee,Resolution to seek authorization from the Legislature to levy a Real Estate Transfer Tax (RETT) to fund expenditures related to affordable housing,Yes
3,,11/2019 2019 - WA15,Fall 2019,,(No recorded vote),Yes
4,X,11/2019 - WA19,Fall 2019,Legalize Accessory Dwelling Units,Allow Accessory Dwelling Units (ADUs) in Brookline,Yes
5,X,11/2019 - WA20,Fall 2019,Legalize Micro Units,Legalize Micro Units (apartments smaller than 500 square feet) in Coolidge Corner,Yes
6,,06/2020 - Main motions Articles 9 through 12,Spring 2020,,Zoning change to allow for the development of Senior Housing on Fisher Hill,Yes
7,,6/2020 - Main motion Article 14,Spring 2020,,Create a municipal use zoning district on a portion of the former Newbury College on Fisher Hill,Yes
8,,6/2020 - Main motion Article 15,Spring 2020,,Authorize the Town to buy a portion of the former Newbury College on Fisher Hill,Yes
9,,11/2020 Renter Notification (WA24),Fall 2020,,Require notifications that go to certain property owners to also go to renters,YES
10,,11/2020 Renter Notification (WA25),Fall 2020,,Require notifications that go to certain property owners to also go to renters,YES
11,,11/2020 - Article 27 Pehlke-Margolis Motion to Refer,Fall 2020,,Refer the idea of legalizing small apartments under 500 square feet to a newly created zoning oversight committee,NO
12,,11/2020 - Article 27 Dempsey Motion to Refer,Fall 2020,,Refer the idea of legalizing small apartments under 500 square feet to the Planning Department,YES
13,,11/2020 - Article 34 Advisory Committee & Select Board Substitute Motion,Fall 2020,,Article 34 was a resolution to recognize that housing affordability is a major problem in Brookline and more housing supply is an important part of the solution. This substitute motion watered down the original resolution.,NO
14,X,11/2020 - Article 34 Main Motion,Fall 2020,Recognizing Brookline's Housing Shortage,A watered down version of a resolution intended to recognize the housing shortage and affordability crises impacting Brookline residents.,YES
15,,11/2020 - Article 7 Main Motion,Fall 2020,,"Updating Brookline's Inclusionary Zoning to help multifamily projects get built, and, in turn, funding the Housing Trust Fund used to supplement low income housing projects.",YES
16,,11/2020 - Article 8 O'Neal Amendment,Fall 2020,,Expand the Brookline Housing Advisory Board to include an additional member from low- and moderate-income renters of affordably housing.,YES
17,,11/2020 - Article 8 Main Motion,Fall 2020,,Expand the Brookline Housing Advisory Board to include an additional member from low- and moderate-income renters of affordably housing.,YES
18,,11/2020 - Motion to Refer Article 9 10 11 to mod committee,Fall 2020,,"Articles 9, 10, and 11 were intended to establish rules and regulations around short term rentals. This vote sent the regulations back for further study and analysis.",YES
19,,11/2020 - Article 12 Main Motion,Fall 2020,,"Officially accept the Community Preservation Act, which would establish a local property tax surcharge of 1% to be used for affordable housing, open space and recreation, and historic preservation.",YES
20,X,11/2020 - Article 32 Main Motion,Fall 2020,Budget Equity Resolution,"A non-binding Resolution submitted by petition that seeks to establish higher budget priorities for affordable housing, including improvements in public housing; reimagined policing; community engagement; school social work; internet access in public housing; and food security.  ",YES
21,,05/2021 - Article 14 16 17 Referral Motion,Spring 2021,,Refer Articles 14 (other than the contingent motion) 16 and 17 to a Moderator's committee,NO
22,,05/2021 - Article 17 Main Motion,Spring 2021,,Amend the Town's Bylaws to create Short Term Rental regulations,YES
23,,05/2021 - Article 16 Main Motion,Spring 2021,,Amend the Town's Bylaws pertaining to the enforcement of Short Term Rental Regulations,YES
24,,05/2021 - Article 14 Main Motion,Spring 2021,,Amend the Town's Bylaws to create Short Term Rental regulations,YES
25,X,05/2021 - Article 18 Main Motion,Spring 2021,Expand Lawrence Local Historic District,Expand the Lawrence Local Historic District,NO
26,,05/2021 - Article 18 Motion to Reconsider,Spring 2021,,,NO
27,,05/2021 - Article 18 Motion to Terminate Debate,Spring 2021,,,YES
28,,05/2021 - Article 18 Motion to Refer,Spring 2021,,Motion to refer Article 18 to a Moderator's Committee,YES
29,,05/2021 - Article 18 Main Motion,Spring 2021,,Expand the Lawrence Local Historic District,NO
30,,05/2021 - STM Article 1 and 2 Main Motion,Spring 2021,,Resolution relative to WIFI access at BHA,YES
31,,05/2021 - Article 21 Main Motion,Spring 2021,,Legalize small apartments (under 500 sq ft) and senior housing in the Emerald Isle overlay,YES
32,,05/2021 - Article 25 Main Motion,Spring 2021,,Amend the Zoning By-law to require new buildings in the Emerald Island Special District to be Fossil Fuel Free (FFF),YES
33,X,05/2021 - Article 26 Main Motion,Spring 2021,Incentivize Fossil Fuel Free Infrastructure,Amend the Town's Zoning Bylaws to incentivize Fossil Fuel Free (FFF) infrastructure in new construction and significant rehabilitation of buildings by special permit,YES
34,,05/2021 - Article 27 Main Motion,Spring 2021,,Petition for a special act exempting the Brookline Housing Authority from certain bidding requirements for the construction and development of affordable housing at 32 Marion Street,YES
35,,05/2021 - Article 29 Main Motion,Spring 2021,,Amend the Town's General Bylaws to permit the use of sidewalks and outdoor premises for year-round outdoor restaurant seating,YES
36,,05/2021 - Article 30 Main Motion,Spring 2021,,Amend the Town's Zoning Bylaws to authorize year-round outdoor restaurant seating,YES
37,,05/2021 - Article 32 Select Board Amendment,Spring 2021,,,YES
38,,05/2021 - Article 32 Main Motion,Spring 2021,,Establish a Community Preservation Committee,YES
39,,05/2021 - Article 23 Main Motion,Spring 2021,,Update the Inclusionary Zoning requirements to make more households eligible for subsidized homes,YES
40,X,05/2021 - Article 39 Main Motion,Spring 2021,Babcock Street Parking Lot Study Committee,Resolution to create a Babcock Street Parking Lot Study Committee,YES
41,,11/2021 - Article 23 Advisory Committee Amendment,Fall 2021,,,NO
42,X,11/2021 - Article 23 Main Motion,Fall 2021,Lower Parking Minimums,Lower the Town's off-street residential parking requirements,YES
43,X,11/2021 - Article 25 Motion to Refer,Fall 2021,EV Ready Parking in New Developments,Increase the requirements for EV ready parking spaces in new developments,YES
44,,11/2021 - Article 26 Main Motion,Fall 2021,,Resolution asking the Town to embark on a comprehensive planning process,YES
45,,11/2021 - Article 20 Main Motion,Fall 2021,,Amend the Town's Preservation Commission and Historic Districts Bylaw to establish the Olmsted-Richardson Local Historic District,Abstain (No is better)
46,,5/2022 - Article 8 Item 44 Vogt Amendment,Spring 2022,,"Increase funding for sidewalk rehab by $147000 in an effort to bring all sidewalks into compliance with ""Public Right of Way Accessibility Guidelines"" by 2030",YES
47,,5/2022 - Article 10 Main Motion,Spring 2022,,Transfer of funds to support developing of Comprehensive Plan,YES
48,,5/2022 - Article 14 Main Motion,Spring 2022,,Expressly authorize the Zoning Board of Appeals to attach conditions related to construction impact mitigation,YES
