BillID,Bill Name,Bill Description,Bill Endorsement
1,11/2019 - WA9,RETF Referral,No
2,11/2019 - WA9,RETF Resolution,Yes
3,11/2019 2019 - WA15,(No recorded vote),Yes
4,11/2019 - WA19,ADUs,Yes
5,11/2019 - WA20,Micro Units in Coolidge Corner,Yes
6,06/2020 - Main motions Articles 9 through 12,,Yes
7,6/2020 - Main motion Article 14,,Yes
8,6/2020 - Main motion Article 15,,Yes
9,11/2020 Renter Notification (WA24),,YES
10,11/2020 Renter Notification (WA25),,YES
11,11/2020 - Article 27 Pehlke-Margolis Motion to Refer,,NO
12,11/2020 - Article 27 Dempsey Motion to Refer,,YES
13,11/2020 Article 34 Advisory Committee & Select Board Substitute,,NO
14,11/2020 - Article 34 Main Motion,,YES
15,11/2020 - Article 7 Main Motion,,YES
16,11/2020 - Article 8 O'Neal Amendment,,YES
17,11/2020 - Article 8 Main Motion,,YES
18,"11/2020 - Motion to Refer Article 9, 10, 11 to mod committee",,YES
19,11/2020 - Article 12 Main Motion,,YES
20,11/2020 - Article 32 Main Motion,,YES
21,"05/2021 - Article 14, 16, 17 Referral Motion","Refer Articles 14 (other than the contingent motion), 16 and 17 to a Moderator's committee",NO
22,05/2021 - Article 17 Main Motion,Amend the Town’s General Bylaws pertaining to Short Term Rentals,YES
23,05/2021 - Article 16 Main Motion,Amend Article 10.2 of the Town’s General Bylaws pertaining to the enforcement of Short Term Rental Regulations,YES
24,05/2021 - Article 14 Main Motion,Amend the Town’s Zoning Bylaws pertaining to Short Term Rentals.,YES
25,05/2021 - Article 18 Main Motion,Amend the Town's Preservation Commission and Historic Districts Bylaw to extend the Lawrence Local Historic District,NO
26,05/2021 - Article 18 Motion to Reconsider,,NO
27,05/2021 - Article 18 Motion to Terminate Debate,,YES
28,05/2021 - Article 18 Motion to Refer,Motion to refer Article 18 to a Moderator's Committee,YES
29,05/2021 - Article 18 Main Motion,Amend the Town's Preservation Commission and Historic Districts Bylaw to extend the Lawrence Local Historic District,NO
30,05/2021 - STM Article 1 and 2 Main Motion,Resolution relative to WIFI access at BHA,YES
31,05/2021 - Article 21 Main Motion,Amend the Town’s Zoning Bylaws pertaining to micro unit dwellings and age restricted units in the Emerald Island Special District,YES
32,05/2021 - Article 25 Main Motion,Amend the Town's Zoning By-law to require new buildings in the Emerald Island Special District to be Fossil Fuel Free (FFF),YES
33,05/2021 - Article 26 Main Motion,Amend the Town’s Zoning Bylaws to incentivize Fossil Fuel Free (FFF) infrastructure in new construction and significant rehabilitation of buildings by special permit,YES
34,05/2021 - Article 27 Main Motion,Petition for a special act exempting the Brookline Housing Authority from certain bidding requirements for the construction and development of affordable housing at 32 Marion Street,YES
35,05/2021 - Article 29 Main Motion,Amend the Town’s General Bylaws to permit the use of sidewalks and outdoor premises for year-round outdoor restaurant seating,YES
36,05/2021 - Article 30 Main Motion,Amend the Town’s Zoning Bylaws to authorize year-round outdoor restaurant seating,YES
37,05/2021 - Article 32 Select Board Amendment,,YES
38,05/2021 - Article 32 Main Motion,Amend the Town’s General Bylaws to establish a Community Preservation Committee,YES
39,05/2021 - Article 23 Main Motion,Amend Section 4.08 of the Town’s Zoning Bylaw pertaining to Affordable Housing Requirements,YES
40,05/2021 - Article 39 Main Motion,Resolution to create a Babcock Street Parking Lot Study Committee,YES
41,11/2021 - Article 23 Advisory Committee Amendment,,NO
42,11/2021 - Article 23 Main Motion,Amend Article VI of the Town’s Zoning By-Laws to amend off-street residential parking requirements,YES
43,11/2021 - Article 25 Motion to Refer,Amend Article VI of the Town’s Zoning By-Laws to increase the requirements for EV ready parking spaces,YES
44,11/2021 - Article 26 Main Motion,Resolution to Transform Our Planning and Zoning in the Age of COVID (Comprehensive Planning),YES
45,11/2021 - Article 20 Main Motion,Amend the Town's Preservation Commission and Historic Districts Bylaw to establish the Olmsted-Richardson Local Historic District,Abstain (No is better)
46,5/2022 - Article 8 Item 44 Vogt Amendment,"Increase funding for sidewalk rehab by $147,000 in an effort to bring all sidewalks into compliance with ""Public Right of Way Accessibility Guidelines"" by 2030",YES
47,5/2022 - Article 10 Main Motion,Transfer of funds to support developing of Comprehensive Plan,YES
48,5/2022 - Article 14 Main Motion,Amend Article 9.05 of the Town’s Zoning By-Laws pertaining to Conditions for Approval of Special Permits to expressly authorize the Zoning Board of Appeals to attach conditions related to construction impact mitigation,YES
49,5/2022 - Article 16 Main Motion,Amend Article 4.07 – Table of Use Regulations of the Town’s Zoning By-Laws to provide a minimum depth to required ground floor non-residential space in multifamily buildings that are located in Local Business (L) and General Business (G) Zoning Districts.,YES
50,5/2022 - Article 17 Main Motion,Amend Article 6 of the Town’s Zoning By-Laws to increase the requirements for electric vehicle-ready parking spaces,YES
51,5/2022 - Article 18 Main Motion,Amend Articles 2 and 6 of the Town’s Zoning By-Laws pertaining to Bicycle Parking and Design Regulations,YES
52,5/2022 - Article 26 Motion to Refer,Amend Article 3.16 of the Town’s General By-Laws pertaining to the Park and Recreation Commission,NO (Yes on the Main Motion)
53,5/2022 - Article 30 Main Motion,Resolution regarding eliminating the parking requirement at the Kent/Station Street Senior Affordable Housing Development,YES
54,11/2022 - Article 10 Main Motion,Create a new Article 8.39 of the Town’s General By-Laws to create a Tree Preservation By-Law,YES
55,11/2022 - Article 21 Main Motion,Petition for a special act regarding betterment loans for residential electrification,YES
56,11/2022 - Article 23 Main Motion,Petition for a special act regarding Community Choice Aggregation,YES
57,11/2022 - Articel 25 Main Motion,Petition for a special act regarding Green Zoning,YES
58,11/2022 - Article 26 Main Motion,Petition for a special act regarding a methane emissions surcharge,YES
59,11/2022 - Article 28 Main Motion,Petition for a special act regarding an emissions reduction fund,YES
60,11/2022 - Article 29 Main Motion,Petition for a special act regarding a gasoline vehicle excise surcharge,YES
